S_ALG,C_ALG,UE_ALG,ACC_OPPORTUNITIES,MAX_SIGNALLING,TOTAL_SIGNALLING,BUSY_CV,BUSY_SIG_MEAN,BUSY_SIG_MARGIN,TOTAL_RESERVE,RESERVE_CV,DELAY_MEAN,DELAY_CV
SD_LONGEST,C_RANDOM,SS_RANDOM,56,317,3183883,0.19992323209020602,69.15241579027587,0.4615732138302477,1434331,0.10328764384781998,50.42065573649884,0.5719678794147361
SD_RANDOM,C_EARLIEST,SS_RANDOM,56,321,4555305,0.04283008798057863,101.54586636466591,0.4871591091252431,40080,0.06048051492348574,1.0,0.0
SD_LONGEST,C_EARLIEST,SS_LONGEST,56,647,2945295,0.46129085736915443,212.75496355868307,2.3948857388894096,449046,1.2061225548793952,3.930169277013131,1.8733944027583271
SD_LONGEST,C_EARLIEST,SS_RANDOM,56,313,3186495,0.18357116607197083,78.15676093206883,0.5352999222658275,28655,0.06652928925908892,1.0,0.0
SD_OUR,C_OUR,SS_OUR,56,132,3319706,0.03823968477979704,58.51325187629165,0.20298595067885,2330919,0.10423293085666249,66.46412818846943,0.4653234520766636
SD_EARLIEST,C_EARLIEST,SS_RANDOM,56,321,4555305,0.04283008798057863,101.54586636466591,0.4871591091252431,40080,0.06048051492348574,1.0,0.0
SD_EARLIEST,C_RANDOM,SS_LONGEST,56,250,3117011,0.2075653820329903,97.02699221265883,0.4711592693547464,1061157,0.260821548424154,25.529549667634118,0.7596819889811371
SD_RANDOM,C_EARLIEST,SS_LONGEST,56,265,3116460,0.20206778136308384,103.68580416830515,0.5054845643981813,41296,0.2584368546698033,1.000168484426423,0.012976875175681126
SD_RANDOM,C_RANDOM,SS_LONGEST,56,260,3118836,0.21349698551686708,90.7302101047781,0.44182473451778725,2096978,0.2606154688747231,50.49006064374515,0.5717733198428643
SD_EARLIEST,C_EARLIEST,SS_LONGEST,56,278,3116505,0.20540378942929707,103.92229065653257,0.5068380326471107,41419,0.25913586512003645,1.0,0.0
SD_RANDOM,C_RANDOM,SS_RANDOM,56,288,4552384,0.04213774408285215,90.51342356334591,0.4380587522401596,2022683,0.05707930952454072,50.49593570572359,0.5712187470539452
SD_EARLIEST,C_RANDOM,SS_RANDOM,56,312,4559694,0.03508091535639828,95.65311967796873,0.46516325608061926,1011988,0.056654372050247884,25.498149243729156,0.7587833668162434
SD_LONGEST,C_RANDOM,SS_LONGEST,56,627,2945400,0.44212897053972416,169.37017970797453,1.8952314755844395,2151074,0.33035991025870254,51.93987106470495,0.5520615230699144
