S_ALG,C_ALG,UE_ALG,ACC_OPPORTUNITIES,MAX_SIGNALLING,TOTAL_SIGNALLING,BUSY_CV,BUSY_SIG_MEAN,BUSY_SIG_MARGIN,TOTAL_RESERVE,RESERVE_CV,DELAY_MEAN,DELAY_CV
SD_LONGEST,C_RANDOM,SS_RANDOM,2,25,7410,0.10129357241026872,6.33,0.2580040082958848,12475,0.10392470443806974,10.678137651821862,0.5249432869411854
SD_EARLIEST,C_EARLIEST,SS_LONGEST,2,24,7005,0.23332512254410376,8.13,0.31614103526710696,1419,0.2930033018637283,1.0128479657387581,0.11118979951209053
SD_EARLIEST,C_RANDOM,SS_RANDOM,2,34,9945,0.08679180171230197,7.937685459940653,0.3498115357277624,11415,0.13990958122817734,5.739064856711916,0.7121173754308069
SD_LONGEST,C_EARLIEST,SS_LONGEST,2,55,6825,0.3485168083858406,9.756923076923076,0.7142508761057277,1671,0.27629834759045513,1.312087912087912,0.6348298218367298
SD_RANDOM,C_EARLIEST,SS_LONGEST,2,24,7005,0.23166957700909346,8.145,0.3145418234266527,1429,0.2703484947789968,1.0278372591006424,0.1600509901389068
SD_LONGEST,C_RANDOM,SS_LONGEST,2,49,6825,0.3049819650209254,7.693693693693693,0.48166785580612415,11694,0.26779723668682537,10.773626373626374,0.5463377942602268
SD_EARLIEST,C_RANDOM,SS_LONGEST,2,24,7020,0.15510530770138112,7.661363636363636,0.2918226566464856,8142,0.3017584481680835,5.799145299145299,0.7062832087913794
SD_LONGEST,C_EARLIEST,SS_RANDOM,2,22,7350,0.1366938633769037,7.365200764818356,0.2861252306863155,1490,0.088867821592224,1.026530612244898,0.15655353576628256
SD_OUR,C_OUR,SS_OUR,2,17,8280,0.18937396864405626,5.542895442359249,0.17997721417914403,14131,0.12185904117719427,10.496376811594203,0.5200844912936332
SD_RANDOM,C_EARLIEST,SS_RANDOM,2,32,10065,0.1581641188810386,9.110743801652893,0.3932200513850341,2051,0.12990573782954432,1.0342771982116243,0.17591057593120293
SD_RANDOM,C_RANDOM,SS_LONGEST,2,27,7080,0.16556614476175122,6.6061776061776065,0.26283878703287983,12059,0.28731394666093607,10.779661016949152,0.5496997914907749
SD_RANDOM,C_RANDOM,SS_RANDOM,2,30,10125,0.1300287800636475,7.074803149606299,0.2916896025017551,17118,0.11343457110131029,10.802962962962964,0.5290511309515482
SD_EARLIEST,C_EARLIEST,SS_RANDOM,2,26,10095,0.13764197215965773,8.885668276972625,0.35577468995373307,2019,0.1219123814968876,1.0,0.0
